编号,名称,百度词条,百度地址,百度置信度,维基词条,维基地址,维基置信度,待复核候选
1-0122-3-075,颐和园,颐和园,https://baike.baidu.com/subview/7379/9572580.htm,exact,,,,
1-0123-3-076,避暑山庄,避暑山庄,https://baike.baidu.com/subview/6967/6967.htm,exact,,,,
1-0124-3-077,留园,留园,https://baike.baidu.com/subview/23789/20354399.htm,exact,,,,
1-0125-4-001,西安碑林,碑林,https://baike.baidu.com/view/98579.htm,related-location,,,,
1-0126-4-002,爨宝子碑,爨宝子碑,https://baike.baidu.com/subview/132409/132409.htm,exact,,,,
1-0127-4-003,爨龙颜碑,爨龙颜碑,https://baike.baidu.com/subview/15433/15433.htm,exact,,,,
1-0128-4-004,药王山石刻,药王山石刻,https://baike.baidu.com/view/51856.htm,exact,,,,
1-0129-4-005,段氏与三十七部会盟碑,段氏与三十七部会盟碑,https://baike.baidu.com/view/418655.htm,exact,段氏与三十七部会盟碑,https://zh.wikipedia.org/wiki/%E6%AE%B5%E6%B0%8F%E4%B8%8E%E4%B8%89%E5%8D%81%E4%B8%83%E9%83%A8%E4%BC%9A%E7%9B%9F%E7%A2%91,exact,
1-0130-4-006,重修护国寺感应塔碑,重修护国寺感应塔碑,https://baike.baidu.com/view/6240567.htm,exact,,,,
1-0131-4-007,苏州文庙及石刻,苏州文庙及石刻,https://baike.baidu.com/view/11617548.htm,exact,,,,
1-0132-4-008,溪州铜柱,溪州铜柱,https://baike.baidu.com/view/48918.htm,exact,溪州铜柱,https://zh.wikipedia.org/wiki/%E6%BA%AA%E5%B7%9E%E9%93%9C%E6%9F%B1,exact,
1-0133-4-009,峨眉山古建筑群,峨眉山古建筑群,https://baike.baidu.com/view/10596541.htm,exact,峨眉山古建筑群,https://zh.wikipedia.org/wiki/%E5%B3%A8%E7%9C%89%E5%B1%B1%E5%8F%A4%E5%BB%BA%E7%AD%91%E7%BE%A4,exact,
1-0134-4-010,沧州铁狮子,沧州铁狮子,https://baike.baidu.com/view/48814.htm,exact,沧州铁狮子,https://zh.wikipedia.org/wiki/%E6%B2%A7%E5%B7%9E%E9%93%81%E7%8B%AE%E5%AD%90,exact,
1-0135-4-011,保圣寺罗汉塑像,保圣寺罗汉塑像,https://baike.baidu.com/view/418683.htm,exact,,,,
1-0136-1-001,周口店遗址,周口店遗址,https://baike.baidu.com/subview/23334/23334.htm,exact,周口店遗址,https://zh.wikipedia.org/wiki/%E5%91%A8%E5%8F%A3%E5%BA%97%E9%81%97%E5%9D%80,exact,
1-0137-1-002,丁村遗址,丁村遗址,https://baike.baidu.com/view/126266.htm,exact,丁村遗址,https://zh.wikipedia.org/wiki/%E4%B8%81%E6%9D%91%E9%81%97%E5%9D%80,exact,
